sector_id,sector_name,tier,param_code,param_group,param_name,unit,required_for_v1,value,status,evidence_class,confidence,primary_source,secondary_source,notes
S01,Agriculture,Tier 1,A1,Economic baseline,GDP / value added,"NZD, annual",yes,"$14,396M (chain-volume, YE Mar 2025)",filled,observed,high,Stats NZ GDP by Industry Dec 2025,,
S01,Agriculture,Tier 1,A2,Economic baseline,Employment,headcount,yes,"166,400 (HLFS Dec 2025 quarter)",filled,observed,high,Stats NZ HLFS Dec 2025,,
S01,Agriculture,Tier 1,A3,Economic baseline,Enterprise count,count,yes,"61,593 enterprises (Feb 2025)",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S01,Agriculture,Tier 1,A4,Economic baseline,Firm size distribution,share/count by band,yes,"{""zero"": 44157, ""1-5"": 13017, ""6-9"": 2229, ""10-19"": 1302, ""20-49"": 636, ""50-99"": 168, ""100+"": 90}",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S01,Agriculture,Tier 1,A5,Economic baseline,Wage / earnings baseline,NZD,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,A6,Economic baseline,Labour productivity baseline,NZD per worker,yes,"$86,514 per worker (derived: GDP/employment)",filled,derived,medium,Derived from Stats NZ GDP + HLFS,,
S01,Agriculture,Tier 1,A7,Economic baseline,Trade / export exposure,share/NZD,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,B1,Adoption state,Current AI adoption estimate,percent/range,yes,"No published NZ adoption rate. Halter ($1.55B valuation, 1,000+ farmers) is leading commercial AI.",gap,assumed,low,Halter public data; MBIE AI Strategy,,
S01,Agriculture,Tier 1,B2,Adoption state,Adoption by firm size,percent/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,B3,Adoption state,AI type mix,categorical/share,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,B4,Adoption state,Adoption stage,categorical,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,B5,Adoption state,Primary barriers to adoption,text/coded,yes,"Physical outdoor work, long diffusion timeline (5-10 years), low digital maturity, fragmented small farms",filled,derived,medium,MBIE AI Strategy; OECD ag-tech benchmarks,,
S01,Agriculture,Tier 1,B6,Adoption state,AI-related investment level,NZD/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,B7,Adoption state,Adoption trajectory / acceleration state,categorical,yes,Slowly accelerating. NZ AI Strategy flagship sector. Removed from ETS Nov 2024.,filled,derived,medium,MBIE AI Strategy July 2025,,
S01,Agriculture,Tier 1,C1,Productivity and labour,Estimated productivity gain range,percent/range,yes,10-25% (OECD range). Robotics integration is breakthrough pathway for NZ primary industries.,filled,derived,medium,OECD Miracle or Myth Nov 2024,,
S01,Agriculture,Tier 1,C2,Productivity and labour,Task automation exposure,percent/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,C3,Productivity and labour,Labour displacement pressure,percent/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,C4,Productivity and labour,New role / job creation potential,qualitative/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,C5,Productivity and labour,Time-to-realise gains,years/range,yes,,unfilled,,,,,
